 Mineral Name   ,   Locality Count   ,   mindat ID 1   ,   Locality Longname 1   ,   Max Age 1   ,   Min Age 1   ,   mindat ID 2   ,   Locality Longname 2   ,   Max Age 2   ,   Min Age 2   
Abellaite,2,2702,"Yubileinaya Pegmatite (Yubileinoye; Jubilejnaja), Karnasurt Mt, Lovozero Massif, Murmansk Oblast, Russia",370,359,53316,"Eureka Mine, Castell-estaó, La Torre De Cabdella (La Torre De Capdella), La Vall Fosca, El Pallars Jussà, Lleida (Lérida), Catalonia, Spain",252,0
Abelsonite,10,,,,,,,,
Abenakiite-(Ce),1,599,"Poudrette Quarry (De-Mix Quarry; Demix Quarry; Uni-Mix Quarry; Carrière Mont Saint-Hilaire; MSH), Mont Saint-Hilaire, La Vallée-du-Richelieu RCM, Montérégie, Québec, Canada",124,124,,,,
Abernathyite,16,,,,,,,,
Abhurite,7,,,,,,,,
Abramovite,1,10264,"Kudriavy Volcano (Kudryavyi), Iturup Island, Kuril Islands (Kurile Islands), Sakhalin Oblast, Russia",0.04,0,,,,
Abswurmbachite,4,,,,,,,,
Abuite,1,53678,"Hinomaru-Nako Mine (Hinomaru-Nago Mine), Abu Town, Yamaguchi, Japan",,,,,,
Acanthite,2793,,,,,,,,
Acetamide,2,2723,"Coal Mine, Chervonograd, L'viv-Volynskii Coal Basin (L'vov-Volynskii Coal Basin), Lviv Oblast, Ukraine",0,0,62571,"Shamokin, Northumberland Co., Pennsylvania, USA",0,0
Achalaite,1,308180,"La Calandria Mine, Cañada Del Puerto, San Gerónimo, Pocho Department, Córdoba Province, Argentina",,,,,,
Achávalite,2,41,"Cacheuta Mine, Cerro De Cacheuta, Sierra De Cacheuta, Cacheuta, Luján De Cuyo Department, Mendoza Province, Argentina",,,64762,"Yutangba Se Deposit, Enshi Co., Enshi Autonomous Prefecture (E'xi Autonomous Prefecture), Hubei, China",,
Achyrophanite,1,251235,"Arsenatnaya Fumarole, Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Krai, Russia",3.60E-05,0,,,,
Acmonidesite,1,5552,"La Fossa Crater, Vulcano Island, Lipari, Eolie Islands (Aeolian Islands), Messina Province, Sicily, Italy",,,,,,
Actinolite,3419,,,,,,,,
Acuminite,1,1958,"Ivigtut Cryolite Deposit, Ivittuut (Ivigtut), Arsuk Fjord, Sermersooq, Greenland, Denmark",1275,1037,,,,
Adachiite,1,19825,"Kiura Mine (Shin-Kiura Mine; Kiura Emery Mine), Saiki City, Oita, Japan",,,,,,
Adamite,254,,,,,,,,
Adamsite-(Y),3,,,,,,,,
Addibischoffite,1,265481,"Acfer 214 Meteorite, Tanezrouft, Tamanghasset Province, Algeria",,,,,,
Adelite,13,,,,,,,,
Admontite,1,246,"Schildmauer, Admont, Ennstaler Alpen, Styria, Austria",,,,,,
Adolfpateraite,1,188817,"Geschieber Vein, Svornost Mine (Einigkeit Mine), Jáchymov, Karlovy Vary District, Karlovy Vary Region, Czech Republic",270,130,,,,
Adranosite,4,,,,,,,,
Adranosite-(Fe),6,,,,,,,,
Adrianite,1,35,"Allende Meteorite (Pueblito De Allende Meteorite; Qutrixpileo Meteorite [NHM Cat.]), Pueblito De Allende, Chihuahua, Mexico",4567.61,4565.65,,,,
Aegirine,1022,,,,,,,,
Aegirine-augite,286,,,,,,,,
Aenigmatite,133,,,,,,,,
Aerinite,22,,,,,,,,
Aerugite,2,1887,"Johanngeorgenstadt, Johanngeorgenstadt Mining District, Erzgebirge District, Saxony, Germany",600,100,13871,"Vater Abraham Mine (""Shaft 139""; Shaft 152), Lauta, Marienberg District, Erzgebirge District, Saxony, Germany",343,100
Aeschynite-(Ce),43,,,,,,,,
Aeschynite-(Nd),7,,,,,,,,
Aeschynite-(Y),141,,,,,,,,
Afghanite,25,,,,,,,,
Afmite,3,,,,,,,,
Afwillite,41,,,,,,,,
Agaite,2,87939,"Aga Mine, Otto Mountain, Baker, Soda Mts, Silver Lake District, San Bernardino Co., California, USA",946,74,205196,"Bird Nest Drift, Otto Mountain, Baker, Soda Mts, Silver Lake District, San Bernardino Co., California, USA",946,74
Agakhanovite-(Y),3,,,,,,,,
Agardite-(Ce),43,,,,,,,,
Agardite-(La),33,,,,,,,,
Agardite-(Nd),18,,,,,,,,
Agardite-(Y),90,,,,,,,,
Agmantinite,1,2544,"Uchucchacua Mine, Oyon Province, Lima, Peru",24.5,24.5,,,,
Agrellite,7,,,,,,,,
Agricolaite,3,,,,,,,,
Agrinierite,1,1720,"Margnac Mine, Compreignac, Haute-Vienne, Nouvelle-Aquitaine, France",520,156,,,,
Aguilarite,87,,,,,,,,
Aheylite,2,218,"Bali Lo Copper Mine (Casleys Prospect; Bali Low Prospect), Ashburton Downs Station, Ashburton Shire, Western Australia, Australia",1790,1790,334,"Huanuni Mine, Huanuni, Dalence Province, Oruro, Bolivia",,
