,id,mineral,min_age,max_age,locality_longname,rarity_group,is_outlier
0,216,Ancylite-(Ce),541.0,2500.0,"Pilanesberg Alkaline Complex, Bojanala Platinum District, North West, South Africa",Ubiquitous,True
1,239,Ankerite,541.0,2500.0,"Yinachang Fe-Cu-REE Deposit, Wuding Co., Chuxiong, Yunnan, China",Ubiquitous,True
2,239,Ankerite,541.0,2500.0,"Bidjovagge Gold-copper Deposit, Kautokeino, Finnmark, Norway",Ubiquitous,True
3,239,Ankerite,541.0,2500.0,"United Verde Mine (The Big Hole; Big Hole Property; Hull Mine; Hopewell Tunnel; Patented Claim 3480; Patented Claim 2812; Patented Claims 3348), Jerome, Verde District, Black Hills (Black Hill Range), Yavapai Co., Arizona, USA",Ubiquitous,True
4,239,Ankerite,1600.0,2500.0,"Zawar Mines, Udaipur, Udaipur District, Udaipur Division, Rajasthan, India",Ubiquitous,True
7,239,Ankerite,2500.0,4000.0,"Kangaroo Caves Prospect, Panorama Area, Shaw River District, East Pilbara Shire, Western Australia, Australia",Ubiquitous,True
8,239,Ankerite,2500.0,4000.0,"Sulphur Springs Prospect, Panorama Area, Shaw River District, East Pilbara Shire, Western Australia, Australia",Ubiquitous,True
9,239,Ankerite,2500.0,4000.0,"Gossan Hill Cu-Zn Deposit, Golden Grove Mine, Yalgoo Shire, Western Australia, Australia",Ubiquitous,True
10,239,Ankerite,2594.0,2727.0,"Mount Charlotte Gold Mine, Kalgoorlie-Boulder, Kalgoorlie-Boulder Shire, Western Australia, Australia",Ubiquitous,True
22,239,Ankerite,2782.0,2969.0,"Gravelotte, Murchison Range, Limpopo, South Africa",Ubiquitous,True
23,239,Ankerite,3040.0,3640.0,"Barberton, Ehlanzeni District, Mpumalanga, South Africa",Ubiquitous,True
24,307,Aragonite,0.0,2709.0,"132 North Ni Mine (Mount Edwards Mine), Widgiemooltha, Coolgardie Shire, Western Australia, Australia",Ubiquitous,True
25,307,Aragonite,0.0,4700.0,"Murchison Meteorite, Murchison, City Of Greater Shepparton, Victoria, Australia",Ubiquitous,True
26,307,Aragonite,541.0,2500.0,"United Verde Extension Mine (Little Daisy Group Of Claims; Little Daisy Shaft; The UVX; The U.V.X. Property; Edith And Audrey Shafts), Jerome, Verde District, Black Hills (Black Hill Range), Yavapai Co., Arizona, USA",Ubiquitous,True
27,307,Aragonite,2512.82,2792.82,"Penokee Group, Ironwood, Gogebic Iron Range, Gogebic Co., Michigan, USA",Ubiquitous,True
30,447,Azurite,0.0,2500.0,"Paratoo Copper Mine, Yunta, Olary Province, South Australia, Australia",Ubiquitous,True
31,447,Azurite,541.0,2500.0,"Coronation Mine, Amisk Lake District, Saskatchewan, Canada",Ubiquitous,True
32,447,Azurite,541.0,2500.0,"Samiuki Mine, Um Samiuki, Eastern Desert, Red Sea, Egypt",Ubiquitous,True
33,447,Azurite,541.0,2500.0,"Bidjovagge Gold-copper Deposit, Kautokeino, Finnmark, Norway",Ubiquitous,True
34,447,Azurite,541.0,2500.0,"United Verde Extension Mine (Little Daisy Group Of Claims; Little Daisy Shaft; The UVX; The U.V.X. Property; Edith And Audrey Shafts), Jerome, Verde District, Black Hills (Black Hill Range), Yavapai Co., Arizona, USA",Ubiquitous,True
35,447,Azurite,541.0,2500.0,"United Verde Mine (The Big Hole; Big Hole Property; Hull Mine; Hopewell Tunnel; Patented Claim 3480; Patented Claim 2812; Patented Claims 3348), Jerome, Verde District, Black Hills (Black Hill Range), Yavapai Co., Arizona, USA",Ubiquitous,True
36,447,Azurite,1491.0,2500.0,"Dongshengmiao Mine, Urad Rear Banner (Wulate Houqi), Bayan Nur League (Bayannao'er Prefecture), Inner Mongolia, China",Ubiquitous,True
