id	mineral	min_age	max_age	locality_longname	rarity_group
216	Ancylite-(Ce)	541.0	2500.0	Pilanesberg Alkaline Complex, Bojanala Platinum District, North West, South Africa	Ubiquitous
239	Ankerite	541.0	2500.0	Yinachang Fe-Cu-REE Deposit, Wuding Co., Chuxiong, Yunnan, China	Ubiquitous
239	Ankerite	541.0	2500.0	Bidjovagge Gold-copper Deposit, Kautokeino, Finnmark, Norway	Ubiquitous
239	Ankerite	541.0	2500.0	United Verde Mine (The Big Hole; Big Hole Property; Hull Mine; Hopewell Tunnel; Patented Claim 3480; Patented Claim 2812; Patented Claims 3348), Jerome, Verde District, Black Hills (Black Hill Range), Yavapai Co., Arizona, USA	Ubiquitous
239	Ankerite	1600.0	2500.0	Zawar Mines, Udaipur, Udaipur District, Udaipur Division, Rajasthan, India	Ubiquitous
239	Ankerite	2483.0	2501.0	Akjoujt Mine (Guelb Moghrein Mine), Akjoujt (Akjout; Fort Repoux), Inchiri Region, Mauritania	Ubiquitous
239	Ankerite	2500.0	2500.0	Darkwater Mine, Valora Lake Area, Kenora District, Ontario, Canada	Ubiquitous
239	Ankerite	2500.0	4000.0	Kangaroo Caves Prospect, Panorama Area, Shaw River District, East Pilbara Shire, Western Australia, Australia	Ubiquitous
239	Ankerite	2500.0	4000.0	Sulphur Springs Prospect, Panorama Area, Shaw River District, East Pilbara Shire, Western Australia, Australia	Ubiquitous
239	Ankerite	2500.0	4000.0	Gossan Hill Cu-Zn Deposit, Golden Grove Mine, Yalgoo Shire, Western Australia, Australia	Ubiquitous
239	Ankerite	2594.0	2727.0	Mount Charlotte Gold Mine, Kalgoorlie-Boulder, Kalgoorlie-Boulder Shire, Western Australia, Australia	Ubiquitous
239	Ankerite	2600.0	2600.0	Tongyu Mine (Tongyu I Deposit), Tongyu Gold Field, Tongguan Co., Weinan, Shaanxi, China	Ubiquitous
239	Ankerite	2602.0	2632.0	Hollinger Mine, Tisdale Township, Porcupine Mining District, Timmins Area, Cochrane District, Ontario, Canada	Ubiquitous
239	Ankerite	2658.0	2686.0	Morro Velho Mine, Nova Lima, Minas Gerais, Brazil	Ubiquitous
239	Ankerite	2670.0	2670.0	CuiabÃ¡ Mine, SabarÃ¡, Minas Gerais, Brazil	Ubiquitous
239	Ankerite	2690.0	2690.0	Teutonic Bore Mine, Ten Mile Outcamp, Leonora Shire, Western Australia, Australia	Ubiquitous
239	Ankerite	2700.0	2720.0	Red Lake Gold District, Kenora District, Ontario, Canada	Ubiquitous
239	Ankerite	2701.0	2709.0	Hunt Shoot, Kambalda Nickel Mines, Kambalda, Coolgardie Shire, Western Australia, Australia	Ubiquitous
239	Ankerite	2701.0	2709.0	Nepean Ni Mine, Nepean, Coolgardie Shire, Western Australia, Australia	Ubiquitous
239	Ankerite	2716.0	2716.0	Kidd Mine (Kidd Creek Mine), Kidd Township, Timmins Area, Cochrane District, Ontario, Canada	Ubiquitous
239	Ankerite	2725.0	2725.0	Mattagami Lake Mine, Matagami, Nord-du-QuÃ©bec, QuÃ©bec, Canada	Ubiquitous
239	Ankerite	2746.0	2764.0	Harbour Lights Gold Mine (Leonora Central), Leonora, Leonora Shire, Western Australia, Australia	Ubiquitous
239	Ankerite	2782.0	2969.0	Gravelotte, Murchison Range, Limpopo, South Africa	Ubiquitous
239	Ankerite	3040.0	3640.0	Barberton, Ehlanzeni District, Mpumalanga, South Africa	Ubiquitous
307	Aragonite	0.0	2709.0	132 North Ni Mine (Mount Edwards Mine), Widgiemooltha, Coolgardie Shire, Western Australia, Australia	Ubiquitous
307	Aragonite	0.0	4700.0	Murchison Meteorite, Murchison, City Of Greater Shepparton, Victoria, Australia	Ubiquitous
307	Aragonite	541.0	2500.0	United Verde Extension Mine (Little Daisy Group Of Claims; Little Daisy Shaft; The UVX; The U.V.X. Property; Edith And Audrey Shafts), Jerome, Verde District, Black Hills (Black Hill Range), Yavapai Co., Arizona, USA	Ubiquitous
307	Aragonite	2512.82	2792.82	Penokee Group, Ironwood, Gogebic Iron Range, Gogebic Co., Michigan, USA	Ubiquitous
307	Aragonite	2658.0	2686.0	Morro Velho Mine, Nova Lima, Minas Gerais, Brazil	Ubiquitous
307	Aragonite	2701.0	2709.0	Armstrong Ni Mine, Widgiemooltha, Coolgardie Shire, Western Australia, Australia	Ubiquitous
447	Azurite	0.0	2500.0	Paratoo Copper Mine, Yunta, Olary Province, South Australia, Australia	Ubiquitous
447	Azurite	541.0	2500.0	Coronation Mine, Amisk Lake District, Saskatchewan, Canada	Ubiquitous
447	Azurite	541.0	2500.0	Samiuki Mine, Um Samiuki, Eastern Desert, Red Sea, Egypt	Ubiquitous
447	Azurite	541.0	2500.0	Bidjovagge Gold-copper Deposit, Kautokeino, Finnmark, Norway	Ubiquitous
447	Azurite	541.0	2500.0	United Verde Extension Mine (Little Daisy Group Of Claims; Little Daisy Shaft; The UVX; The U.V.X. Property; Edith And Audrey Shafts), Jerome, Verde District, Black Hills (Black Hill Range), Yavapai Co., Arizona, USA	Ubiquitous
447	Azurite	541.0	2500.0	United Verde Mine (The Big Hole; Big Hole Property; Hull Mine; Hopewell Tunnel; Patented Claim 3480; Patented Claim 2812; Patented Claims 3348), Jerome, Verde District, Black Hills (Black Hill Range), Yavapai Co., Arizona, USA	Ubiquitous
447	Azurite	1491.0	2500.0	Dongshengmiao Mine, Urad Rear Banner (Wulate Houqi), Bayan Nur League (Bayannao'er Prefecture), Inner Mongolia, China	Ubiquitous
447	Azurite	2500.0	2500.0	Copper Hills Mine, Nullagine, East Pilbara Shire, Western Australia, Australia	Ubiquitous
447	Azurite	2500.0	2500.0	Kellys Copper Mine (Mondana Mine), Nullagine, East Pilbara Shire, Western Australia, Australia	Ubiquitous
447	Azurite	2500.0	4000.0	Gossan Hill Cu-Zn Deposit, Golden Grove Mine, Yalgoo Shire, Western Australia, Australia	Ubiquitous
447	Azurite	2596.0	2622.0	Serra Verde Mine, CurionÃ³polis, CarajÃ¡s Mineral Province, ParÃ¡, Brazil	Ubiquitous
447	Azurite	2690.0	2690.0	Teutonic Bore Mine, Ten Mile Outcamp, Leonora Shire, Western Australia, Australia	Ubiquitous
447	Azurite	2700.0	2710.0	Kambalda, Coolgardie Shire, Western Australia, Australia	Ubiquitous
447	Azurite	2701.0	2709.0	Jericho Mine, Bonya, Jervois Station, Central Desert Region, Northern Territory, Australia	Ubiquitous
447	Azurite	2701.0	2709.0	132 North Ni Mine (Mount Edwards Mine), Widgiemooltha, Coolgardie Shire, Western Australia, Australia	Ubiquitous
447	Azurite	3040.0	3640.0	Barberton, Ehlanzeni District, Mpumalanga, South Africa	Ubiquitous
447	Azurite	3117.0	3351.0	Coppin Gap Cu-Mo Deposit (Spinifex Ridge), Bamboo Creek District, East Pilbara Shire, Western Australia, Australia	Ubiquitous
447	Azurite	3200.0	3200.0	Anaconda Copper Mine (Murrin Murrin Copper Mine; Eulaminna Copper Mine), Eulaminna (Murrin Murrin Mining Centre), Leonora Shire, Western Australia, Australia	Ubiquitous
