id	mineral	min_age	max_age	locality_longname	rarity_group
47008	Abellaite	0.0	0.0	Eureka Mine, Castell-estaÃ³, La Torre De Cabdella (La Torre De Capdella), La Vall Fosca, El Pallars JussÃ , Lleida (LÃ©rida), Catalonia, Spain	Generally Rare
97	Albrechtschraufite	0.0	0.0	JÃ¡chymov, Karlovy Vary District, Karlovy Vary Region, Czech Republic	Generally Rare
146	Alstonite	100.0	145.0	AnitÃ¡polis Mine, AnitÃ¡polis, Santa Catarina, Brazil	Transitional
146	Alstonite	162.0	183.0	Qaqqaarsuk (Qaqarssuk), Maniitsoq, Maniitsoq Island, Qeqqata, Greenland, Denmark	Transitional
146	Alstonite	319.6	413.6	Khibiny Massif, Murmansk Oblast, Russia	Transitional
146	Alstonite	334.0	392.0	Sokli Carbonatite Complex, Tulppio, Savukoski, Lapland, Finland	Transitional
146	Alstonite	342.0	352.0	Udachnaya Open-pit Mine (Udachnaya-Vostochnaya Pipe; Udachnaya Pipe), Daldyn, Daldyn-Alakit Kimberlite Field, Sakha Republic (Yakutia), Russia	Transitional
146	Alstonite	358.0	402.0	Vuoriyarvi Alkaline-ultrabasic Massif, Northern Karelia, Murmansk Oblast, Russia	Transitional
146	Alstonite	370.0	415.0	Sebl'yavr Massif, Murmansk Oblast, Russia	Transitional
157	Alumohydrocalcite	33.9	56.0	CsordakÃºti Mine, Bicske-CsordakÃºt, Bicske-ZsÃ¡mbÃ©ki Basin, FejÃ©r, Hungary	Transitional
157	Alumohydrocalcite	33.9	56.0	Coal Mine, MÃ¡ny, Bicske-ZsÃ¡mbÃ©ki Basin, FejÃ©r, Hungary	Transitional
157	Alumohydrocalcite	50.5	60.7	Akenobe Mine, Oya-cho, Yabu City, Hyogo, Japan	Transitional
157	Alumohydrocalcite	200.0	260.0	Torr Works Quarry (Merehead Quarry), Cranmore, Mendip, Somerset, England, UK	Transitional
157	Alumohydrocalcite	217.0	372.0	Ramsbeck, Meschede, Sauerland, North Rhine-Westphalia, Germany	Transitional
216	Ancylite-(Ce)	28.7	336.0	Cripple Creek District, Teller Co., Colorado, USA	Ubiquitous
216	Ancylite-(Ce)	38.0	48.0	Jebel Bou-Agrao, Tamazeght Mountain Range, KhÃ©nifra Province, BÃ©ni Mellal-KhÃ©nifra Region, Morocco	Ubiquitous
216	Ancylite-(Ce)	66.0	145.0	Cerro Sapo, Ayopaya Province, Cochabamba, Bolivia	Ubiquitous
216	Ancylite-(Ce)	90.0	121.0	Oka Complex, Oka, Deux-Montagnes RCM, Laurentides, QuÃ©bec, Canada	Ubiquitous
216	Ancylite-(Ce)	110.0	110.0	Weishan Mine (Chisan Mine; Xishan Mine; Deposit No. 101), Weishan Co., Jining, Shandong, China	Ubiquitous
216	Ancylite-(Ce)	125.0	161.0	Jacupiranga Mine, Cajati, SÃ£o Paulo, Brazil	Ubiquitous
