id,mineral,min_age,max_age,locality_longname,rarity_group
7088,Adamsite-(Y),1742.0,1742.0,"Hundholmen, Tysfjord, Nordland, Norway",Generally Rare
39868,Agricolaite,0.0,543.0,"Rovnost Mine (Werner Mine), JÃ¡chymov, Karlovy Vary District, Karlovy Vary Region, Czech Republic",Generally Rare
146,Alstonite,427.7,2070.0,"Bayan Obo Deposit (Bayun-Obo Deposit; Baiyunebo Deposit), Bayan Obo, Bayan Obo Mining District, Baotou League (Baotou Prefecture), Inner Mongolia, China",Transitional
146,Alstonite,495.0,541.0,"Rosebery Mine (EZ Mine), Rosebery, Rosebery District, West Coast Municipality, Tasmania, Australia",Transitional
146,Alstonite,541.0,1000.0,"Rosh Pinah Mine, Rosh Pinah, Oranjemund, Karas Region, Namibia",Transitional
216,Ancylite-(Ce),490.0,942.0,"Lueshe Mine, North Kivu, DR Congo",Ubiquitous
216,Ancylite-(Ce),506.0,540.0,"McClure Mountain, Iron Mountain Complex, Fremont Co., Colorado, USA",Ubiquitous
216,Ancylite-(Ce),1160.0,1300.0,"NarssÃ¢rssuk Pegmatite, Narsaarsuk Plateau, Igaliku, Kujalleq, Greenland, Denmark",Ubiquitous
216,Ancylite-(Ce),1726.0,1923.0,"Carb Lake Carbonatite Complex, Carb Lake Area, Kenora District, Ontario, Canada",Ubiquitous
239,Ankerite,0.0,543.0,"JÃ¡chymov, Karlovy Vary District, Karlovy Vary Region, Czech Republic",Ubiquitous
239,Ankerite,5.0,1861.0,"Broken Hill, Broken Hill District, Yancowinna Co., New South Wales, Australia",Ubiquitous
239,Ankerite,48.0,1860.0,"Schwartzwalder Mine (Ralston Creek Mine), Ralston Buttes District, Jefferson Co., Colorado, USA",Ubiquitous
239,Ankerite,100.0,600.0,"Johanngeorgenstadt, Johanngeorgenstadt Mining District, Erzgebirge District, Saxony, Germany",Ubiquitous
239,Ankerite,230.0,698.0,"Bou Azzer District (Bou Azer District), Tazenakht, Ouarzazate Province, DrÃ¢a-Tafilalet Region, Morocco",Ubiquitous
239,Ankerite,363.7,556.0,"Salmagorskii, Murmansk Oblast, Russia",Ubiquitous
239,Ankerite,390.0,540.0,"Tomtor Massif, Polar Yakutia, Sakha Republic (Yakutia), Russia",Ubiquitous
239,Ankerite,506.0,540.0,"McClure Gulch Carbonatite Dike, McClure Mountain, Iron Mountain Complex, Fremont Co., Colorado, USA",Ubiquitous
239,Ankerite,519.0,541.0,"Tsumeb Mine (Tsumcorp Mine), Tsumeb, Oshikoto Region, Namibia",Ubiquitous
239,Ankerite,521.0,550.0,"Kushk Mine (Koushk Deposit), Bafq (Bafgh), Yazd, Iran",Ubiquitous
239,Ankerite,541.0,1000.0,"Rosh Pinah Mine, Rosh Pinah, Oranjemund, Karas Region, Namibia",Ubiquitous
239,Ankerite,541.0,1000.0,"Lofdal-Bergville REE Deposit, Khorixas, Kunene Region, Namibia",Ubiquitous
239,Ankerite,541.0,1000.0,"Bleikvassli Mine, Bleikvassli, Hemnes, Nordland, Norway",Ubiquitous
239,Ankerite,541.0,1600.0,"Olympic Dam Mine, Roxby Downs, Stuart Shelf, South Australia, Australia",Ubiquitous
239,Ankerite,544.8,590.2,"Hale's Mine (Haile Gold Mine), Kershaw, Lancaster Co., South Carolina, USA",Ubiquitous
239,Ankerite,548.2,590.9,"Aillik Bay, Labrador, Newfoundland And Labrador, Canada",Ubiquitous
239,Ankerite,550.0,1350.0,"Vazante Mine, Vazante, Minas Gerais, Brazil",Ubiquitous
239,Ankerite,569.0,700.0,"Zhidoiskii Massif (Zhidoi), Irkutsk Oblast, Russia",Ubiquitous
239,Ankerite,570.0,782.0,"Ganboke Deposit (GambokÃ©), Pala, Mayo-Kebbi Ouest Region, Chad",Ubiquitous
239,Ankerite,598.0,604.0,"Sarfartoq Carbonatite Complex, Sarfartoq Region, Isortoq Fjord (SÃ¸ndre Isortoq), Qeqqata, Greenland, Denmark",Ubiquitous
239,Ankerite,654.0,704.0,"Nkumbwa Hill Carbonatite (Nkombwa Hill Carbonatite), Isoka, Isoka District, Muchinga Mts., Northern Province, Zambia",Ubiquitous
239,Ankerite,655.0,742.0,"Nizhnesayanskii Carbonatite, Irkutsk Oblast, Russia",Ubiquitous
239,Ankerite,662.0,748.0,"Arbarastakh Complex, Aldan Shield, Sakha Republic (Yakutia), Russia",Ubiquitous
239,Ankerite,710.0,1655.0,"Mount Isa Mines, Mount Isa, Mount Isa City Shire, Queensland, Australia",Ubiquitous
239,Ankerite,749.0,749.0,"Sodalite Mine, Orotumba, Swartbooisdrif, Epupa, Kunene Region, Namibia",Ubiquitous
239,Ankerite,750.0,750.0,"Huashugou Mine, Jingtieshan Fe-Cu Ore Field, Sunan Co., Zhangye, Gansu, China",Ubiquitous
239,Ankerite,861.9,1899.0,"Harding Mine (Harding Pegmatite), Picuris District, Taos Co., New Mexico, USA",Ubiquitous
239,Ankerite,1000.0,1000.0,"Tongchang Ore Field, LÃ¼eyang Co., Hanzhong, Shaanxi, China",Ubiquitous
239,Ankerite,1000.0,1000.0,"SkÃ¥rnesdalen, HÃ¥fjellsmulden, HÃ¥fjellet, Ballangen, Nordland, Norway",Ubiquitous
239,Ankerite,1000.0,1824.0,"Tanyaokou Fe-Cu-Zn Deposit, Urad Rear Banner (Wulate Houqi), Bayan Nur League (Bayannao'er Prefecture), Inner Mongolia, China",Ubiquitous
239,Ankerite,1048.0,1144.2,"Firesand Creek Carbonatite Complex, McMurray Township, Algoma District, Ontario, Canada",Ubiquitous
239,Ankerite,1072.0,1414.0,"Kruidfontein, Pilanesberg Alkaline Complex, Bojanala Platinum District, North West, South Africa",Ubiquitous
