name,imayear,discovery_year,yearrruff,locality_counts,rarity_group
Abellaite,2015.0,,2014.0,3.0,Generally Rare
Abelsonite,1975.0,1975.0,1975.0,10.0,Transitional
Abenakiite-(Ce),1991.0,,1991.0,2.0,Generally Rare
Abernathyite,1956.0,1956.0,1956.0,20.0,Transitional
Abhurite,1983.0,1983.0,1983.0,7.0,Transitional
Abramovite,2006.0,,2006.0,1.0,Endemic
Abswurmbachite,1990.0,1990.0,1990.0,4.0,Generally Rare
Abuite,2015.0,,2014.0,1.0,Endemic
Acanthite,,1855.0,1855.0,3284.0,Ubiquitous
Acetamide,1974.0,1974.0,1974.0,3.0,Generally Rare
Achalaite,2013.0,,2013.0,1.0,Endemic
Achávalite,,1939.0,1939.0,3.0,Generally Rare
Achyrophanite,,,2018.0,1.0,Endemic
Acmonidesite,2013.0,,2013.0,1.0,Endemic
Actinolite,,,1794.0,3857.0,Ubiquitous
Acuminite,1986.0,,1986.0,1.0,Endemic
Adachiite,2013.0,,2012.0,1.0,Endemic
Adamite,1866.0,1866.0,1866.0,317.0,Ubiquitous
Adamsite-(Y),1999.0,1992.0,1999.0,3.0,Generally Rare
Adanite,,,2019.0,2.0,Generally Rare
Addibischoffite,2015.0,,2015.0,1.0,Endemic
Adelite,1891.0,1887.0,1891.0,17.0,Transitional
Admontite,1978.0,1978.0,1978.0,1.0,Endemic
Adolfpateraite,2011.0,,2011.0,2.0,Generally Rare
Adranosite,2008.0,,2008.0,4.0,Generally Rare
Adranosite-(Fe),2011.0,,2011.0,7.0,Transitional
Adrianite,2014.0,2014.0,2014.0,1.0,Endemic
Aegirine,,1821.0,1835.0,1658.0,Ubiquitous
Aegirine-augite,1988.0,1892.0,1892.0,757.0,Ubiquitous
Aenigmatite,,1865.0,1865.0,330.0,Ubiquitous
Aerinite,,1876.0,1876.0,29.0,Transitional
Aerugite,,1858.0,1858.0,4.0,Generally Rare
Aeschynite-(Ce),,,1830.0,54.0,Transitional
Aeschynite-(Nd),,,1982.0,10.0,Transitional
Aeschynite-(Y),,,1906.0,171.0,Ubiquitous
Afghanite,1967.0,1964.0,1967.0,28.0,Transitional
Afmite,2010.0,,2005.0,4.0,Generally Rare
Afwillite,,1925.0,1925.0,47.0,Transitional
Agaite,,,2011.0,2.0,Generally Rare
Agakhanovite-(Y),2013.0,,2013.0,3.0,Generally Rare
Agardite-(Ce),2003.0,,2003.0,50.0,Transitional
Agardite-(La),1980.0,1980.0,1980.0,43.0,Transitional
Agardite-(Nd),2010.0,,2010.0,21.0,Transitional
Agardite-(Y),1968.0,1968.0,1968.0,104.0,Ubiquitous
Agmantinite,2014.0,,2014.0,1.0,Endemic
Agrellite,1973.0,,1973.0,10.0,Transitional
Agricolaite,2010.0,,2009.0,4.0,Generally Rare
Agrinierite,1971.0,,1971.0,1.0,Endemic
Aguilarite,,1891.0,1891.0,107.0,Ubiquitous
Aheylite,1984.0,1984.0,1984.0,6.0,Transitional
Ahlfeldite,,1935.0,1935.0,2.0,Generally Rare
Ahrensite,,,2013.0,5.0,Transitional
Aikinite,,1843.0,1843.0,379.0,Ubiquitous
Aiolosite,2008.0,2008.0,2008.0,1.0,Endemic
Airdite,2013.0,,2020.0,1.0,Endemic
Ajoite,,1958.0,1958.0,17.0,Transitional
Akaganeite,1962.0,,1962.0,73.0,Ubiquitous
Akaogiite,2008.0,,2007.0,4.0,Generally Rare
Akatoreite,1969.0,1969.0,1969.0,5.0,Transitional
Akdalaite,1969.0,,1969.0,6.0,Transitional
Åkermanite,,,1884.0,58.0,Transitional
Akhtenskite,1982.0,,1982.0,8.0,Transitional
Akimotoite,1997.0,,1997.0,13.0,Transitional
Aklimaite,2011.0,,2011.0,1.0,Endemic
Akopovaite,,,2018.0,1.0,Endemic
Akrochordite,,1915.0,1922.0,5.0,Transitional
Aksaite,,1962.0,1962.0,1.0,Endemic
Aktashite,2008.0,1968.0,1968.0,25.0,Transitional
Alabandite,,1832.0,1822.0,365.0,Ubiquitous
Alacránite,1985.0,1985.0,1985.0,20.0,Transitional
Alamosite,,1909.0,1909.0,18.0,Transitional
Alarsite,1993.0,,1993.0,2.0,Generally Rare
Albertiniite,2015.0,,2015.0,1.0,Endemic
Albite,,1815.0,1815.0,10431.0,Ubiquitous
Albite-Anorthite Series,,,,,
Albrechtschraufite,1983.0,1983.0,1983.0,2.0,Generally Rare
Alburnite,,,2012.0,2.0,Generally Rare
Alcantarillaite,,,2019.0,1.0,Endemic
Alcaparrosaite,2011.0,,2011.0,2.0,Generally Rare
Aldermanite,1980.0,,1980.0,5.0,Transitional
Aldridgeite,2010.0,,2010.0,3.0,Generally Rare
Aleksandrovite,2009.0,,2009.0,1.0,Endemic
Aleksite,,1978.0,1977.0,30.0,Transitional
Aleutite,,,2018.0,1.0,Endemic
Alexkhomyakovite,2015.0,,2015.0,1.0,Endemic
Alexkuznetsovite-(Ce),,,2020.0,1.0,Endemic
Alexkuznetsovite-(La),,,2019.0,1.0,Endemic
Alflarsenite,2008.0,1969.0,2008.0,1.0,Endemic
Alforsite,1980.0,1980.0,1980.0,7.0,Transitional
Alfredopetrovite,2015.0,,2015.0,1.0,Endemic
Alfredstelznerite,2007.0,,2007.0,1.0,Endemic
Algodonite,1857.0,1857.0,1857.0,47.0,Transitional
Alicewilsonite-(YCe),2013.0,,2020.0,1.0,Endemic
Aliettite,,1968.0,1968.0,9.0,Transitional
Alkali Feldspar,,,,620.0,Ubiquitous
Allabogdanite,2000.0,1997.0,2000.0,4.0,Generally Rare
Allactite,,1884.0,1884.0,15.0,Transitional
Allanite-(Ce),,,1812.0,818.0,Ubiquitous
Allanite-(La),2003.0,,2003.0,29.0,Transitional
Allanite-(Nd),2011.0,,2010.0,7.0,Transitional
Allanite-(Y),,1949.0,1949.0,35.0,Transitional
Allanpringite,2004.0,,2004.0,3.0,Generally Rare
Allantoin,,,2020.0,1.0,Endemic
Allargentum,1970.0,1950.0,1949.0,78.0,Ubiquitous
Alleghanyite,,1932.0,1932.0,92.0,Ubiquitous
Allendeite,2007.0,,2007.0,2.0,Generally Rare
Allochalcoselite,2004.0,,2004.0,1.0,Endemic
Alloclasite,1866.0,1866.0,1866.0,75.0,Ubiquitous
Allophane,,1816.0,1816.0,568.0,Ubiquitous
Alloriite,2006.0,,2006.0,1.0,Endemic
Alluaivite,,1990.0,1988.0,5.0,Transitional
Alluaudite,,1848.0,1848.0,112.0,Ubiquitous
Almandine,,,0.0,2704.0,Ubiquitous
Almarudite,2002.0,1982.0,2002.0,1.0,Endemic
Almeidaite,2013.0,,2013.0,7.0,Transitional
Alnaperbøeite-(Ce),2012.0,,2012.0,1.0,Endemic
Alpeite,,,2016.0,3.0,Generally Rare
Alpersite,2003.0,,2003.0,11.0,Transitional
Alsakharovite-Zn,2002.0,2002.0,2002.0,2.0,Generally Rare
Alstonite,,1841.0,1841.0,29.0,Transitional
Altaite,,1845.0,1845.0,608.0,Ubiquitous
Alterite,,,2018.0,1.0,Endemic
Althausite,,1971.0,1974.0,6.0,Transitional
Althupite,1986.0,1986.0,1986.0,1.0,Endemic
Altisite,,1994.0,1993.0,2.0,Generally Rare
Alum-(K),,,1951.0,113.0,Ubiquitous
Alum-(Na),,,1951.0,16.0,Transitional
Aluminite,,1807.0,1805.0,94.0,Ubiquitous
Aluminium,,1978.0,1978.0,33.0,Transitional
Alumino-oxy-rossmanite,2013.0,,2020.0,1.0,Endemic
Aluminoceladonite,1998.0,,1883.0,18.0,Transitional
Aluminocerite-(Ce),2007.0,,2007.0,8.0,Transitional
Aluminocopiapite,,1947.0,1947.0,60.0,Transitional
Aluminocoquimbite,2009.0,,2009.0,5.0,Transitional
Aluminomagnesiohulsite,2002.0,,2002.0,3.0,Generally Rare
Aluminopyracmonite,2012.0,,2012.0,4.0,Generally Rare
Aluminosilicate,,,,,
Aluminosugilite,2013.0,,2019.0,3.0,Generally Rare
Alumoåkermanite,2008.0,,2008.0,9.0,Transitional
Alumoedtollite,2013.0,,2017.0,1.0,Endemic
Alumohydrocalcite,,1926.0,1926.0,54.0,Transitional
Alumoklyuchevskite,1993.0,1993.0,1993.0,4.0,Generally Rare
Alumotantite,,1981.0,1980.0,5.0,Transitional
Alumovesuvianite,,,2016.0,2.0,Generally Rare
Alunite,,1824.0,1565.0,1150.0,Ubiquitous
Alunogen,,,1832.0,312.0,Ubiquitous
Alvanite,,1959.0,1959.0,4.0,Generally Rare
