,max_age,counts
0,0,744
1,30,456
2,60,400
3,90,223
4,120,397
5,150,226
6,180,245
7,210,181
8,240,318
9,270,227
10,300,203
11,330,462
12,360,269
13,390,340
14,420,138
15,450,39
16,480,166
17,510,111
18,540,169
19,570,58
20,600,43
21,630,33
22,660,12
23,690,15
24,720,17
25,750,36
26,780,10
27,810,7
28,840,6
29,870,5
30,900,64
31,930,18
32,960,21
33,990,69
34,1020,12
35,1050,13
36,1080,16
37,1110,15
38,1140,27
39,1170,25
40,1200,11
41,1230,15
42,1260,10
43,1290,19
44,1320,10
45,1350,9
46,1380,33
47,1410,19
48,1440,17
49,1470,7
50,1500,40
51,1530,5
52,1560,7
53,1590,48
54,1620,20
55,1650,26
56,1680,40
57,1710,19
58,1740,25
59,1770,29
60,1800,86
61,1830,42
62,1860,21
63,1890,32
64,1920,18
65,1950,16
66,1980,21
67,2010,8
68,2040,24
69,2070,9
70,2100,15
71,2130,5
72,2160,1
73,2190,20
74,2220,6
75,2400,3
76,2430,1
77,2460,2
78,2490,97
79,2520,2
80,2550,6
81,2580,4
82,2610,14
83,2640,16
84,2670,23
85,2700,74
86,2730,10
87,2760,6
88,2790,8
89,2820,1
90,2850,2
91,2880,4
92,2910,7
93,2940,6
94,3000,5
95,3090,5
96,3180,15
97,3240,1
98,3300,2
99,3330,6
100,3390,1
101,3630,4
102,3990,21
103,4320,2
104,4560,1
105,4620,2
106,4680,3
