mineral,max_age,counts
Ankerite,0.0,2
Dolomite,0.0,4
Calcite,0.0,13
Siderite,0.0,5
Azurite,0.0,3
Aragonite,0.0,8
Smithsonite,0.0,1
Malachite,0.0,5
Aragonite,3.6e-05,1
Calcite,3.6e-05,1
Siderite,0.008,1
Dolomite,0.01,2
Rhodochrosite,0.01,1
Aragonite,0.01,1
Calcite,0.01,1
Calcite,0.015,1
Dolomite,0.032,1
Aragonite,0.032,1
Calcite,0.032,1
Aragonite,0.1,1
Calcite,0.1,1
Dolomite,0.126,1
Aragonite,0.126,1
Calcite,0.126,2
Dolomite,0.211,1
Calcite,0.246,1
Calcite,0.3,1
Calcite,0.35,1
Calcite,0.365,1
Aragonite,0.365,1
Calcite,0.4,1
Aragonite,0.4,1
Malachite,0.4,1
Siderite,0.4,1
Azurite,0.4,1
Dolomite,0.4,1
Calcite,0.45,1
Malachite,0.45,1
Calcite,0.56,1
Calcite,0.6,1
Dolomite,0.6,1
Aragonite,0.639,1
Calcite,0.639,1
Calcite,0.661,1
Calcite,0.706,1
Calcite,0.85,1
Calcite,1.0,1
Siderite,1.0,1
Calcite,1.1,1
Aragonite,1.1,1
Malachite,1.2,1
Azurite,1.2,1
Malachite,1.5,1
Azurite,1.5,1
Calcite,1.5,1
Rhodochrosite,1.79,1
Malachite,1.79,1
Smithsonite,1.79,1
Azurite,1.79,1
Calcite,1.79,1
Cerussite,1.79,1
Malachite,1.925,1
Calcite,1.96,1
Ankerite,2.0,1
Aragonite,2.0,1
Calcite,2.0,1
Calcite,2.094,1
Malachite,2.1,1
Azurite,2.1,1
Cerussite,2.18,1
Calcite,2.2,1
Calcite,2.58,1
Dolomite,2.58,1
Calcite,2.6,2
Azurite,2.7,1
Malachite,2.7,1
Aragonite,3.0,1
Calcite,3.0,1
Cerussite,3.08,1
Calcite,3.08,1
Calcite,3.3,1
Dolomite,3.3,1
Cerussite,3.4,1
Azurite,3.4,1
Malachite,3.4,1
Malachite,3.6,1
Calcite,3.82,1
Malachite,3.88,1
Malachite,3.9,1
Aragonite,3.96,1
Calcite,3.96,1
Malachite,4.1,1
Malachite,5.0,1
Azurite,5.0,1
Aragonite,5.1,1
Calcite,5.1,2
Malachite,5.1,1
Azurite,5.1,1
Azurite,5.3,1
Ankerite,5.3,2
Malachite,5.3,2
Siderite,5.3,3
Calcite,5.3,5
Dolomite,5.3,3
Calcite,5.597,1
Azurite,5.6,1
Calcite,5.6,1
Malachite,5.6,1
Calcite,5.7,1
Dolomite,5.7,1
Rhodochrosite,6.0,1
Calcite,6.0,2
Ankerite,6.0,1
Dolomite,6.0,1
Calcite,6.3,1
Dolomite,6.3,1
Rhodochrosite,6.33,1
Azurite,6.33,1
Malachite,6.33,1
Ankerite,6.34,1
Dolomite,6.34,1
Calcite,6.34,1
Azurite,6.4,1
Malachite,6.4,1
Rhodochrosite,6.4,1
Cerussite,6.6,1
Smithsonite,6.6,1
Azurite,7.0,1
Malachite,7.0,2
Calcite,7.0,2
Malachite,7.3,1
Azurite,7.3,1
Cerussite,7.3,1
Siderite,7.7,1
Calcite,8.0,2
Dolomite,8.0,1
Siderite,8.0,2
Ankerite,8.0,1
Azurite,8.0,1
Malachite,8.0,2
Malachite,8.16,1
Siderite,8.16,1
Aragonite,8.7,1
Siderite,8.75,1
Malachite,8.75,1
Azurite,8.75,1
Calcite,9.0,1
Rhodochrosite,9.2,1
Siderite,9.2,1
Dolomite,9.2,1
Calcite,9.2,1
Malachite,9.5,1
Azurite,9.5,1
Calcite,9.5,1
Azurite,10.0,1
Calcite,10.0,3
Malachite,10.0,1
Malachite,10.5,1
Azurite,10.5,1
Calcite,10.5,1
Malachite,10.6,1
Rhodochrosite,10.9,1
Calcite,10.9,1
Dolomite,10.9,1
Rhodochrosite,11.0,1
Aragonite,11.0,1
Calcite,11.0,1
Malachite,11.2,1
Calcite,11.2,1
Azurite,11.2,1
Ankerite,11.3,1
Dolomite,11.6,1
Ankerite,11.6,1
Azurite,11.6,1
Calcite,11.6,1
Siderite,11.6,1
Malachite,11.6,1
Rhodochrosite,12.0,1
Dolomite,12.0,1
Azurite,12.0,3
Siderite,12.0,1
Malachite,12.0,3
Ankerite,12.0,1
Aragonite,12.0,1
Calcite,12.0,3
Malachite,12.3,1
Azurite,12.3,1
Calcite,12.71,1
Dolomite,12.71,1
Ankerite,12.87,1
Siderite,12.87,1
Malachite,13.0,1
Malachite,13.4,1
Azurite,13.4,1
Rhodochrosite,13.4,1
Dolomite,13.4,1
Ankerite,13.4,1
Calcite,13.4,1
Siderite,13.4,1
Azurite,13.6,1
Malachite,13.6,1
Calcite,13.6,1
Malachite,13.71,1
Calcite,13.8,1
Rhodochrosite,13.8,1
Calcite,13.937,1
Malachite,14.0,1
Siderite,14.0,1
Azurite,14.0,1
Calcite,14.0,2
Rhodochrosite,14.1,1
Malachite,14.15,1
Azurite,14.15,1
Azurite,14.74,1
Malachite,14.89,1
Calcite,14.9,1
Azurite,14.9,1
Malachite,14.9,2
Calcite,15.0,3
Dolomite,15.0,1
Ankerite,15.0,1
Rhodochrosite,15.0,1
Siderite,15.0,1
Azurite,15.0,1
Malachite,15.0,3
Ankerite,15.4,1
Siderite,15.4,1
Dolomite,15.4,1
Calcite,15.6,1
Azurite,15.8,1
Malachite,15.8,1
Calcite,15.9,1
Malachite,15.9,1
Siderite,15.9,1
Azurite,15.9,1
Siderite,16.0,2
Calcite,16.0,1
Malachite,16.0,1
Dolomite,16.0,1
Aragonite,16.0,2
Cerussite,16.06,1
Calcite,16.1,1
Calcite,16.16,1
Azurite,16.16,1
Cerussite,16.16,1
Malachite,16.16,1
Dolomite,16.5,1
Calcite,16.5,1
Siderite,16.6,1
Rhodochrosite,17.0,1
Azurite,17.0,2
Malachite,17.0,2
Aragonite,17.0,1
Calcite,17.0,3
Malachite,17.5,1
Calcite,17.5,1
Dolomite,17.89,1
Azurite,17.89,1
Malachite,17.89,1
Calcite,17.89,1
Cerussite,18.0,1
Azurite,18.0,1
Malachite,18.0,1
Ankerite,18.0,1
Calcite,18.0,1
Malachite,19.0,2
Siderite,19.0,1
Azurite,19.0,2
Calcite,19.0,1
Cerussite,19.0,1
Aragonite,19.0,2
Rhodochrosite,19.5,1
Malachite,19.5,1
Calcite,19.9,1
Azurite,20.0,2
Smithsonite,20.0,1
Calcite,20.0,3
Malachite,20.0,3
Rhodochrosite,20.0,1
Ankerite,20.0,1
Siderite,20.0,2
Rhodochrosite,20.17,1
Malachite,20.17,1
Malachite,20.6,1
Calcite,20.6,1
Azurite,20.6,1
Smithsonite,21.0,1
Calcite,21.0,3
Malachite,21.0,4
Cerussite,21.0,1
Ankerite,21.0,1
Siderite,21.0,1
Azurite,21.0,4
Ankerite,21.2,1
Rhodochrosite,21.2,1
Calcite,21.2,1
Aragonite,21.9,1
Azurite,22.0,1
Malachite,22.0,1
Calcite,22.0,2
Rhodochrosite,22.0,1
Cerussite,23.0,5
Aragonite,23.0,1
Calcite,23.0,16
Azurite,23.0,7
Ankerite,23.0,3
Dolomite,23.0,4
Rhodochrosite,23.0,3
Malachite,23.0,11
Siderite,23.0,6
Smithsonite,23.0,3
Rhodochrosite,23.5,1
Malachite,23.5,1
Calcite,23.5,1
Calcite,23.8,1
Malachite,23.8,1
Malachite,24.0,1
Azurite,24.0,1
Siderite,24.0,1
Calcite,24.0,3
Siderite,24.12,1
Calcite,24.12,1
Malachite,24.4,1
Calcite,24.49,1
Calcite,24.5,1
Siderite,24.5,1
Rhodochrosite,24.5,1
Cerussite,24.5,1
Siderite,24.6,1
Ankerite,24.6,1
Dolomite,24.6,1
Calcite,24.6,1
Calcite,24.8,1
Dolomite,25.0,1
Calcite,25.0,8
Ankerite,25.0,2
Siderite,25.0,3
Cerussite,25.0,2
Rhodochrosite,25.0,3
Azurite,25.0,3
Malachite,25.0,5
Malachite,25.08,1
Rhodochrosite,25.1,1
Siderite,25.1,1
Calcite,25.1,1
Aragonite,25.1,1
Malachite,25.71,1
Azurite,25.71,1
Calcite,25.9,1
Siderite,25.9,1
Azurite,26.0,2
Siderite,26.0,1
Calcite,26.0,3
Dolomite,26.0,2
Malachite,26.0,3
Smithsonite,26.0,3
Rhodochrosite,26.0,2
Ankerite,26.0,1
Cerussite,26.0,2
Dolomite,26.5,1
Calcite,26.5,1
Rhodochrosite,26.7,1
Malachite,26.9,1
Calcite,26.9,2
Dolomite,26.9,1
Dolomite,27.0,2
Siderite,27.0,2
Ankerite,27.0,1
Calcite,27.0,2
Malachite,27.0,2
Cerussite,27.0,2
Azurite,27.0,2
Aragonite,27.0,2
Smithsonite,27.0,1
Calcite,27.2,1
Malachite,27.2,1
Azurite,27.2,1
Cerussite,27.2,1
Malachite,27.5,1
Calcite,27.5,1
Azurite,27.5,1
Calcite,28.0,2
Siderite,28.0,2
Malachite,28.0,2
Cerussite,28.0,1
Azurite,28.0,1
Ankerite,28.0,1
Dolomite,28.0,1
Malachite,28.07,1
Malachite,28.4,1
Azurite,28.4,1
Cerussite,28.9,1
Azurite,28.9,1
Aragonite,28.9,1
Dolomite,28.9,1
Rhodochrosite,28.9,1
Smithsonite,28.9,1
Malachite,28.9,1
Siderite,28.9,1
Calcite,28.9,1
