mineral,max_age,counts
Ankerite,540.0,2
Dolomite,540.0,3
Cerussite,540.0,1
Rhodochrosite,540.0,1
Siderite,540.0,1
Calcite,540.0,3
Smithsonite,540.0,1
Dolomite,541.0,11
Cerussite,541.0,6
Rhodochrosite,541.0,2
Siderite,541.0,3
Calcite,541.0,15
Azurite,541.0,5
Smithsonite,541.0,8
Aragonite,541.0,3
Malachite,541.0,5
Ankerite,541.0,1
Calcite,542.0,2
Malachite,542.0,1
Dolomite,542.0,2
Siderite,543.0,1
Cerussite,543.0,1
Rhodochrosite,543.0,1
Smithsonite,543.0,1
Ankerite,543.0,1
Calcite,547.0,1
Azurite,547.0,1
Malachite,547.0,2
Azurite,550.0,2
Calcite,550.0,3
Cerussite,550.0,1
Dolomite,550.0,2
Siderite,550.0,2
Ankerite,550.0,1
Malachite,550.0,3
Calcite,550.71,1
Dolomite,551.0,1
Siderite,551.0,1
Ankerite,556.0,1
Calcite,556.0,1
Calcite,558.0,1
Dolomite,558.0,1
Malachite,560.0,1
Calcite,561.2,1
Calcite,570.0,2
Malachite,570.0,3
Azurite,570.0,1
Malachite,577.0,2
Aragonite,577.0,1
Azurite,577.0,1
Calcite,577.0,3
Siderite,577.0,1
Dolomite,577.0,1
Smithsonite,577.0,1
Cerussite,577.0,1
Malachite,579.0,1
Calcite,579.0,1
Dolomite,579.0,1
Azurite,580.0,1
Malachite,580.0,1
Cerussite,580.0,1
Calcite,580.0,1
Siderite,581.0,1
Calcite,581.0,1
Dolomite,581.0,1
Malachite,581.0,1
Azurite,581.0,1
Siderite,582.0,1
Dolomite,585.0,1
Siderite,585.0,1
Malachite,587.0,1
Siderite,589.0,1
Dolomite,589.0,1
Calcite,589.0,1
Calcite,590.2,1
Ankerite,590.2,1
Dolomite,590.9,1
Calcite,590.9,1
Ankerite,590.9,1
Siderite,600.0,2
Ankerite,600.0,1
Rhodochrosite,600.0,1
Calcite,600.0,1
Aragonite,600.0,1
Azurite,600.0,1
Malachite,601.0,1
Cerussite,601.0,1
Dolomite,601.0,2
Smithsonite,601.0,1
Siderite,601.0,1
Aragonite,601.0,1
Azurite,601.0,1
Rhodochrosite,601.0,1
Siderite,604.0,1
Ankerite,604.0,1
Calcite,608.4,1
Dolomite,608.4,1
Calcite,610.6,1
Calcite,613.0,1
Dolomite,613.0,1
Calcite,622.0,1
Malachite,622.0,1
Calcite,628.0,1
Malachite,630.0,7
Calcite,630.0,6
Azurite,630.0,5
Aragonite,630.0,2
Siderite,630.0,3
Dolomite,630.0,3
Calcite,649.0,1
Malachite,650.0,1
Azurite,650.0,1
Calcite,658.0,1
Dolomite,670.0,1
Calcite,670.0,2
Malachite,670.0,1
Rhodochrosite,670.0,1
Siderite,670.0,1
Malachite,675.0,1
Malachite,684.0,1
Ankerite,698.0,1
Azurite,700.0,1
Ankerite,700.0,1
Malachite,700.0,1
Calcite,700.0,2
Siderite,702.0,1
Ankerite,704.0,1
Dolomite,704.0,1
Siderite,704.0,1
Calcite,704.0,1
Cerussite,709.0,1
Ankerite,742.0,1
Calcite,742.0,1
Dolomite,742.0,1
Calcite,746.0,1
Siderite,746.0,1
Ankerite,748.0,1
Dolomite,748.0,1
Siderite,749.0,1
Ankerite,749.0,1
Dolomite,749.0,1
Rhodochrosite,750.0,1
Aragonite,750.0,1
