period,mineral,counts,proportion
Archean,Ankerite,23,8.487084870848708
Proterozoic,Ankerite,54,5.10879848628193
Phanerozoic,Ankerite,212,5.189718482252141
Archean,Aragonite,6,2.214022140221402
Proterozoic,Aragonite,37,3.5004730368968775
Phanerozoic,Aragonite,167,4.08812729498164
Archean,Azurite,23,8.487084870848708
Proterozoic,Azurite,94,8.893093661305581
Phanerozoic,Azurite,473,11.578947368421053
Archean,Calcite,82,30.25830258302583
Proterozoic,Calcite,306,28.949858088930934
Phanerozoic,Calcite,1094,26.78090575275398
Proterozoic,Cerussite,54,5.10879848628193
Phanerozoic,Cerussite,268,6.560587515299877
Archean,Cerussite,9,3.3210332103321036
Phanerozoic,Dolomite,487,11.921664626682986
Archean,Dolomite,50,18.45018450184502
Proterozoic,Dolomite,177,16.74550614947966
Phanerozoic,Malachite,722,17.674418604651162
Archean,Malachite,37,13.653136531365314
Proterozoic,Malachite,160,15.137180700094607
Phanerozoic,Rhodochrosite,118,2.8886168910648715
Archean,Rhodochrosite,7,2.5830258302583027
Proterozoic,Rhodochrosite,33,3.122043519394513
Proterozoic,Siderite,102,9.649952696310313
Phanerozoic,Siderite,397,9.718482252141984
Archean,Siderite,26,9.59409594095941
Phanerozoic,Smithsonite,147,3.598531211750306
Archean,Smithsonite,8,2.952029520295203
Proterozoic,Smithsonite,40,3.7842951750236518
